place,public_transport_density,parks_and_recreation_density,parks_and_recreation_coverage,healthcare_density,education_density,emergency_services_density,commerce_density,employment_density
"Comuna 1, CABA",70.86394055770306,27.44908125609162,0.13421818895014898,4.779037703637631,13.06821296783108,2.2606841629618497,88.54589389252509,8.872577628828765
"Comuna 2, CABA",90.52032534625558,22.338080287059846,0.07455085273344902,14.892053524706563,15.768056673218714,4.3800157425607535,2659.1075573086337,266.45095767244584
"Comuna 3, CABA",163.46765292786674,14.419006777913461,0.018446748983709123,14.262278443370924,31.972580246677676,5.6422200435313545,2854.493157023238,286.02921054013115
"Comuna 4, CABA",52.41930786648646,22.10183764387632,0.06617246524674837,2.45575973820848,11.966247451634048,2.00925796762512,813.2136747634736,81.4865731314632
"Comuna 5, CABA",102.78398883417955,15.905259586019026,0.00863074421054414,7.352431318065398,21.75719471672414,2.2507442810404283,2732.8537060392878,273.8405541932521
"Comuna 6, CABA",94.19012214929799,25.263397103610156,0.08171793532903342,9.199965419233758,20.59039879542793,1.4603119713069455,2659.6661933413397,266.50693476351756
"Comuna 7, CABA",63.292548842040304,31.565749549719847,0.10453075871295875,3.623619208513758,14.252902220154114,2.496271010309478,1466.5994809924682,146.95789012305795
"Comuna 8, CABA",22.643810756652073,33.053735544582494,0.3007366295776169,0.5783291548850235,9.653648200773084,1.5570400323827556,810.2391459939179,81.18851597424369
"Comuna 9, CABA",57.81147164646222,18.603901253106816,0.0875059085342059,2.9087532903880366,9.817042355059623,2.3633620484402798,1103.6900766216106,110.59322406162848
"Comuna 10, CABA",68.99673932512847,19.702050564170857,0.028918405015690127,3.4814868466807942,12.264328664443708,1.7407434233403971,1441.098180422666,144.40257943619204
"Comuna 11, CABA",65.6493922795061,17.122839328312736,0.02059968988733897,3.836652795555551,12.220449645102867,2.273572026995882,1294.017728989875,129.66465466460892
"Comuna 12, CABA",69.93310860229117,24.93490306717806,0.09724598967851547,4.03830049674092,10.961101348296783,2.3717002917367305,1167.4534436054344,116.98251438971712
"Comuna 13, CABA",63.37920631707097,56.38934687171001,0.23321863941339596,6.116127014690836,13.576457768874162,2.9572482268834808,1224.0991353688373,122.65859122868983
"Comuna 14, CABA",66.62984532996256,41.73794084820296,0.26730547371636126,6.600126188345348,10.245910178098017,1.63431696092361,1144.8390311269889,114.71647898790724
"Comuna 15, CABA",82.81037548318272,18.814181592040672,0.055501338826549465,3.1473537979250192,11.260532477020625,1.119059128151118,1273.8389938135194,127.6426818047369
